2022-08-04 15:15:02,367-1, 015760, 21750, 1
2022-08-04 15:15:03,448-1, 035720, 81300, 41
2022-08-05 14:02:43,296-0, 035720, 81700, 161
2022-08-05 14:02:50,581-0, 000660, 98200, 161
2022-08-05 14:02:57,537-0, 005380, 193500, 161
2022-08-05 14:03:04,789-0, 035420, 266500, 161
2022-08-05 14:03:12,373-0, 003550, 80300, 161
2022-08-05 14:03:20,760-0, 015760, 21800, 161
2022-08-05 14:46:09,206-1, 005930, 61500, 161
2022-08-05 14:46:18,082-1, 035720, 81700, 161
2022-08-05 14:46:26,372-1, 005380, 194000, 161
2022-08-05 14:46:34,869-1, 003550, 80000, 161
2022-08-05 14:46:42,966-1, 015760, 21800, 161
2022-08-05 15:03:07,024-1, 035420, 267000, 161
2022-08-05 15:11:06,187-1, 000660, 98400, 161
